original_index,text_column,text,negative,neutral,positive,sentiment,date,year,month
0,Title,video is the age of american exceptionalism nearing an end,0.11381266266107559,0.1352623850107193,0.7509249448776245,positive,2025-05-15,2025,5
1,Title,australia s soft landing spurs debate over policy in next crisis,0.24038273096084595,0.46662503480911255,0.2929922342300415,neutral,2025-05-20,2025,5
2,Title,bank indonesia poised to resume rate cuts as growth falters,0.07350656390190125,0.8569060564041138,0.06958742439746857,neutral,2025-05-20,2025,5
3,Title,eu likely to propose quota to ban russia gas imports by end 2027,0.04301091283559799,0.19341416656970978,0.7635748982429504,positive,2025-05-20,2025,5
4,Title,japan s april export growth slows as trump ramps up tariffs,0.009796296246349812,0.9633572101593018,0.02684651128947735,neutral,2025-05-20,2025,5
5,Title,japan s farm minister eto resigns following comments on rice,0.01012376882135868,0.9240099787712097,0.06586629152297974,neutral,2025-05-20,2025,5
6,Title,kraft heinz mulls deals after berkshire hathaway exits board,0.020181220024824142,0.5765394568443298,0.40327927470207214,neutral,2025-05-20,2025,5
7,Title,malaysia ex pm najib played role in 2002 submarine bribes french prosecutors,0.067903533577919,0.19116362929344177,0.7409328818321228,positive,2025-05-20,2025,5
8,Title,new fortress energy disqualified from puerto rico power auction,0.032383646816015244,0.027824535965919495,0.9397917985916138,positive,2025-05-20,2025,5
9,Title,reeves to meet bessent as questions linger over uk us deal,0.12472190707921982,0.15354125201702118,0.7217368483543396,positive,2025-05-20,2025,5
10,Title,south africa budget gets third reboot with credibility on line,0.7439675331115723,0.02452833764255047,0.2315041720867157,negative,2025-05-20,2025,5
11,Title,stock market today dow s p live updates,0.03214000537991524,0.03012198396027088,0.9377379417419434,positive,2025-05-20,2025,5
12,Title,traders brace for 10 year yield at 5 as selloff sours risk mood,0.05174325406551361,0.84017014503479,0.10808668285608292,neutral,2025-05-20,2025,5
13,Title,trump won t participate in g 20 in south africa rubio says,0.03575925529003143,0.04307614266872406,0.9211646318435669,positive,2025-05-20,2025,5
14,Title,us set to hit deposit insurance fund target ratio by end of 2025,0.8090210556983948,0.011927895247936249,0.17905114591121674,negative,2025-05-20,2025,5
15,Title,us sets the stage for duties on battery materials from china,0.05638786405324936,0.04409979656338692,0.8995122909545898,positive,2025-05-20,2025,5
16,Title,buyers strike in japanese bonds sends warning note to boj on tapering,0.11854672431945801,0.8228389620780945,0.05861429497599602,neutral,2025-05-21,2025,5
17,Title,10 best affordable sushi restaurants in new york city 2025,0.20204177498817444,0.0209074504673481,0.7770507335662842,positive,2025-05-21,2025,5
18,Title,amazon ceo says customer demand prices steady despite tariffs,0.8945173025131226,0.060760073363780975,0.04472263157367706,negative,2025-05-21,2025,5
19,Title,argentina s economy grew less than expected in march,0.0478895902633667,0.9394062161445618,0.01270423922687769,neutral,2025-05-21,2025,5
20,Title,baidu reports surprise revenue jump during china s ai battle,0.943999171257019,0.023925015702843666,0.032075781375169754,negative,2025-05-21,2025,5
21,Title,bank of spain chief economist gavilan will step down in june,0.016563963145017624,0.3694285452365875,0.6140075325965881,positive,2025-05-21,2025,5
22,Title,bessent kato did not discuss fx levels at g 7 meeting us says,0.029975520446896553,0.07308503240346909,0.8969393968582153,positive,2025-05-21,2025,5
23,Title,bofa tells clients to bet against mexico peso as recession looms,0.09340465068817139,0.195992574095726,0.7106027603149414,positive,2025-05-21,2025,5
24,Title,boj hearings underscore divergent opinions on bond tapering pace,0.030548490583896637,0.8029875159263611,0.16646407544612885,neutral,2025-05-21,2025,5
25,Title,brazil s invepar said to hire adviser for debt restructuring,0.1134769394993782,0.014665203168988228,0.8718578219413757,positive,2025-05-21,2025,5
26,Title,carney says canada us are in high level talks on golden dome defense system,0.6156801581382751,0.01021113432943821,0.37410876154899597,negative,2025-05-21,2025,5
27,Title,china threatens enforcers of us s huawei curbs with legal action,0.01792258583009243,0.9001954197883606,0.08188198506832123,neutral,2025-05-21,2025,5
28,Title,china us trade soars as exporters race to hit trade truce window,0.6855137348175049,0.23562413454055786,0.07886222004890442,negative,2025-05-21,2025,5
29,Title,chinese authorities question metals bosses in smuggling probe,0.03649680316448212,0.7914859056472778,0.17201727628707886,neutral,2025-05-21,2025,5
30,Title,chinese firms go on fundraising spree amid rush of easy money,0.3179889917373657,0.08311299979686737,0.5988979339599609,positive,2025-05-21,2025,5
31,Title,citi sees gulf economies remaining resilient despite oil s drop,0.9415925741195679,0.026884477585554123,0.03152284771203995,negative,2025-05-21,2025,5
32,Title,denmark s 4 billion wind sweetener shows industry s new reality,0.30065011978149414,0.011435423977673054,0.6879144906997681,positive,2025-05-21,2025,5
33,Title,dollar extends slide with g 7 meeting budget deficit in focus,0.05054428428411484,0.9149435758590698,0.03451215848326683,neutral,2025-05-21,2025,5
34,Title,dollar store billionaire poised to emerge from malaysia ipo,0.7358229160308838,0.018248818814754486,0.24592825770378113,negative,2025-05-21,2025,5
35,Title,ecb s escriva says unexpectedly strong euro weighs on inflation,0.4521045386791229,0.4933864176273346,0.05450912564992905,neutral,2025-05-21,2025,5
36,Title,ecb s guindos sees inflation target hit sooner rather than later,0.21915456652641296,0.08200766891241074,0.6988377571105957,positive,2025-05-21,2025,5
37,Title,ecb warns of ripple effects from investors questioning us assets,0.016071582213044167,0.9385949373245239,0.04533346742391586,neutral,2025-05-21,2025,5
38,Title,ecb will soon reach terminal rate if baseline holds kazaks says,0.27183520793914795,0.10721219331026077,0.6209526062011719,positive,2025-05-21,2025,5
39,Title,eric trump attends groundbreaking event for 1 5b vietnam resort,0.06593602895736694,0.0126596475020051,0.9214043617248535,positive,2025-05-21,2025,5
40,Title,estee lauder l oreal suffer as china s duty free spending falls,0.3428727984428406,0.10656203329563141,0.5505651831626892,positive,2025-05-21,2025,5
41,Title,eu prepares trade proposal for us to steer momentum into talks,0.6342706680297852,0.016721736639738083,0.34900760650634766,negative,2025-05-21,2025,5
42,Title,eu unveils plan to reinvigorate world s second biggest market,0.7856931090354919,0.01038196962326765,0.20392489433288574,negative,2025-05-21,2025,5
43,Title,fed s daly hammack stress wait and see policy approach,0.03602907061576843,0.04446375370025635,0.9195072054862976,positive,2025-05-21,2025,5
44,Title,france eyes progress with us at g 7 even without a communique,0.8646582365036011,0.01478568185120821,0.12055618315935135,negative,2025-05-21,2025,5
45,Title,g 7 countries discussing de minimis tariffs on chinese goods,0.06720920652151108,0.025865759700536728,0.9069249629974365,positive,2025-05-21,2025,5
46,Title,giant us companies are rushing to europe to borrow money,0.2891513407230377,0.05492432042956352,0.6559243202209473,positive,2025-05-21,2025,5
47,Title,half of turkish firms in red as central bank holds line on rates,0.09580068290233612,0.5830804109573364,0.32111889123916626,neutral,2025-05-21,2025,5
48,Title,hedge fund edl s 31 gain belies painful short bets on us stocks,0.2081514447927475,0.7476092576980591,0.04423922672867775,neutral,2025-05-21,2025,5
49,Title,highlights of south african finance minister s reworked budget,0.038159437477588654,0.04407547786831856,0.9177650809288025,positive,2025-05-21,2025,5
50,Title,historic fall in uk migration can t come fast enough for starmer,0.010638528503477573,0.9609634280204773,0.028398048132658005,neutral,2025-05-21,2025,5
51,Title,hong kong dollar falls toward weak end of band on carry allure,0.027694566175341606,0.9487286806106567,0.023576730862259865,neutral,2025-05-21,2025,5
52,Title,hong kong ramps up tax checks on private equity venture funds,0.648999035358429,0.13141541182994843,0.21958555281162262,negative,2025-05-21,2025,5
53,Title,iceland cuts rate and signals more moves hinge on inflation,0.02948669157922268,0.936053991317749,0.034459277987480164,neutral,2025-05-21,2025,5
54,Title,india market buzz fundraising resumes amid tariff uncertainty,0.6675079464912415,0.14937087893486023,0.18312114477157593,negative,2025-05-21,2025,5
55,Title,india s short term bonds rally on hopes of record rbi dividend,0.9018541574478149,0.043769314885139465,0.054376523941755295,negative,2025-05-21,2025,5
56,Title,india s wheat output seen hitting record allaying import fears,0.8812291622161865,0.08022986352443695,0.038541030138731,negative,2025-05-21,2025,5
57,Title,india set for record russia fuel flows on gush of dirty products,0.45689690113067627,0.17398881912231445,0.3691142499446869,neutral,2025-05-21,2025,5
58,Title,indonesia resumes rate cuts as growth outlook dims rupiah gains,0.1520540416240692,0.6132248640060425,0.2347211092710495,neutral,2025-05-21,2025,5
59,Title,johnson says agreement reached on 40 000 salt cap increase,0.8512361645698547,0.01421116292476654,0.13455261290073395,negative,2025-05-21,2025,5
60,Title,korean won jumps on report fx direction was discussed with us,0.3807821571826935,0.30088499188423157,0.31833288073539734,neutral,2025-05-21,2025,5
61,Title,lagos startups lure 42 more funding defying slowdown in africa,0.9235947132110596,0.01434917002916336,0.06205616891384125,negative,2025-05-21,2025,5
62,Title,latest oil market news and analysis for may 22,0.026275455951690674,0.05196147784590721,0.9217630624771118,positive,2025-05-21,2025,5
63,Title,london rents show sign of flatlining after years of rapid growth,0.8369807600975037,0.14007847011089325,0.02294074185192585,negative,2025-05-21,2025,5
64,Title,malaysia s anwar says us trade talks unaffected by china ties,0.2255648821592331,0.10406770557165146,0.6703673601150513,positive,2025-05-21,2025,5
65,Title,meloni looks to moody s to finally end italy s near junk status,0.6883300542831421,0.018069211393594742,0.29360073804855347,negative,2025-05-21,2025,5
66,Title,merz advisers see germany in stagnation but recovery in sight,0.7863075137138367,0.14900007843971252,0.06469232589006424,negative,2025-05-21,2025,5
67,Title,milei s cuts have argentines driving cars with paper license plates,0.03298947960138321,0.03610626235604286,0.9309042096138,positive,2025-05-21,2025,5
68,Title,milei stumbles in bid to unchain farmers as soy tax break ends,0.022665059193968773,0.9240300059318542,0.05330486595630646,neutral,2025-05-21,2025,5
69,Title,mnuchin flags us budget deficit as bigger worry than trade gap,0.07942482084035873,0.8463461399078369,0.07422903180122375,neutral,2025-05-21,2025,5
70,Title,nigerian opposition leaders agree to unite before 2027 election,0.49399521946907043,0.03901073709130287,0.4669939875602722,neutral,2025-05-21,2025,5
71,Title,nordea questions norway s data on faltering home construction,0.046254828572273254,0.8945919275283813,0.059153251349925995,neutral,2025-05-21,2025,5
72,Title,nvidia ceo urges us to lower barriers to 50 billion china arena,0.5035965442657471,0.025136999785900116,0.4712664484977722,negative,2025-05-21,2025,5
73,Title,portugal opposes further increase in spanish banks presence,0.17858169972896576,0.05999177694320679,0.7614264488220215,positive,2025-05-21,2025,5
74,Title,republican hardliners threaten to block deal on trump tax bill,0.016971809789538383,0.8805997371673584,0.10242845118045807,neutral,2025-05-21,2025,5
75,Title,rice costs imperil ishiba after bragging minister quits in japan,0.01482772920280695,0.937347412109375,0.04782487824559212,neutral,2025-05-21,2025,5
76,Title,rich argentines face higher energy bills after milei subsidy cut,0.15798696875572205,0.7978145480155945,0.04419856145977974,neutral,2025-05-21,2025,5
77,Title,romanian leader says minority coalition may need to push reforms,0.2710140645503998,0.39396730065345764,0.3350186049938202,neutral,2025-05-21,2025,5
78,Title,russian advance in ukraine is slowing despite putin s confidence,0.019060267135500908,0.9503772854804993,0.03056236542761326,neutral,2025-05-21,2025,5
79,Title,south africa arbiter proposes more pay to avoid logistics strike,0.6624425649642944,0.18986772000789642,0.14768970012664795,negative,2025-05-21,2025,5
80,Title,south africa central bank deputy governor says cpi goal too wide,0.015200900845229626,0.936920702457428,0.0478784553706646,neutral,2025-05-21,2025,5
81,Title,south africa cuts growth outlook planned spending in budget 3 0,0.02492881566286087,0.8389111161231995,0.13616007566452026,neutral,2025-05-21,2025,5
82,Title,south korean early may exports fall as shipments to us slump,0.010777660645544529,0.9702175855636597,0.019004717469215393,neutral,2025-05-21,2025,5
